name,mappe,byline,bylineboks,epostbyline,temaord,seksjon,trynebilde,autolayout,@tit,@stikktit,@ing,@mt,@navn,@txt,@spm,@bl,@ill,@bt,@fakta,@fak1,@fak2,@fak3,@fak4,@sitat,@sitatbyline,@slagord,@tema,@webtema,@plak,@plakdag,@plaktxt,@beskjed,@epost,@kom,@tingo
50 år siden,år,,,,,Nyheter,,,SLETT,,,,,D hermetegn,,,,,,D kilde,,,,,,,SLETT,,,,,,,,D txt 1
Ad notam,adnotam,,,,,Bakside,,,B tit adnotam,,,B mt adnotam,,,,,,,,,,,,,,,SLETT,,,,,,,,D txt 1
Anmeldelse (liten),anmeldelser,Navn Navnesen,,anmeldelser@universitas.no,???,Anmeldelser,,,D tit 30,,,,,D txt 1,,A signatur,,,,P anmtit,P anminfo,P anminfo,P anminfo,,,,A temaord,,,,,,,,D txt 1
Anmeldelse (stor),hovedanmeldelse,Navn Navnesen,,anmeldelser@universitas.no,???,Anmeldelser,,,D tit 60,,,,,D txt 0 initial 3 linjer,,A signatur,,,A txt 1,P anmtit,P anminfo,P anminfo,P anminfo,,,,A temaord,,,,,,,,D txt 1
Bakpå nyhetene,frampeik,,,,,Side2,,,D web mt,,,,,D web txt 1,,,,,,,,,,,,,SLETT,,,,,,,D kilde,D txt 1
Ekspertintervjuet,omverden,Navn Navnesen,,universitas@universitas.no,,Omverden,,TRUE,N tit 30,,A ingress,,,,,A bl høyre,,,,,,,,,,,SLETT,,,,,,,,
Fem på plassen,fempaaplassen,,,,,Nyheter,,,SLETT,,A 5påplassen spørsmål,A 5påplassen navn,,A 5påplassen,,A fotobyline,,A fotobyline,,,,,,,,,SLETT,,,,,,,,D txt 1
Forside (hovedsak),forside,,,,,Forside,,TRUE,F tit,F stikktit,F ingress,,,F ingress,,,,,,,,,,,,,SLETT,,,,,,,,D txt 1
Forside (stolpe),forsidestolpe,,,,,Forside,,,F tit,F stikktit,F ingress,,,F ingress,,,,,,,,,,,,,SLETT,,,,,,,,D txt 1
Kommentar,kommentar,Navn Navnesen; Ansatt i Universitas,kommentar,debatt@universitas.no,kommentar,Side2,TRUE,TRUE,D tit 80,D stikktit stor,D stikktit stor,,,D txt 0 initial 4 linjer,,D bl,,A fotobyline,,,,,,,,,SLETT,,,,,,,,D txt 1
Kronikk,kronikk,Navn Navnesen; Ansatt i Universitas,kommentar,,kronikk,Debatt,TRUE,TRUE,D tit 60,D stikktit stor,D stikktit stor,,,D txt 0 initial 3 linjer,,D bl,,,,,,,,,,,A temaord,,,,,,,,D txt 1
Kultur,kultur,Navn Navnesen,kultur,kulturredaksjonen@universitas.no,???,Kultur,,TRUE,K tit 60,K stikktit,,,,,,A bl,,,,A faktatxt,A faktakilde,,,,,,A temaord,,,,,,,,D txt 1
Kultur undersak,,,,kulturredaksjonen@universitas.no,,Kultur,,TRUE,K undersaktittel,K stikktit,,,,,,A bl,,,,A faktatxt,A faktakilde,,,,,,A temaord,,,,,,,,D txt 1
Kulturkommentar,kulturkommentar,Navn Navnesen; Ansatt i Universitas,kulturkommentar,debatt@universitas.no,kommentar,Kultur,TRUE,TRUE,D tit 80,D stikktit stor,D stikktit stor,,,D txt 0 initial 4 linjer,,D bl,,A fotobyline,,,,,,,,,A temaord,,,,,,,,D txt 1
Kulturnotis,kulturnotis,,,,,Kultur,,,K tit notis,,,,,K notis,,,,,,,,,,,,,K notis,,,,,,,,D txt 1
Leder,leder,,,,,Side2,,,D leder tit,,,,,D leder txt 0,,SLETT,,,,,,,,,,,SLETT,,,,,,,,D txt 1
Leserbrev,leserbrev,Navn Navnesen; Ansatt i Universitas,leserbrev,,???,Debatt,TRUE,,D innleggtit,,,,,D txt 1,,D bl,,,,,,,,A sitat liten,,,A temaord,,,,,,,,D txt 1
Magasin,magasin,Navn Navnesen,,magasin@universitas.no,???,Magasin,,TRUE,M tit 120,M stikktit,M ing,,,A txt 1 tingo,,M bl,,M bt,M faktatit,M faktatxt,M faktakilde,,,M sitat,,,M bl,,,,,,,,A txt 1 tingo
